geo_code,geo,time,poblacion
AL,Albania,2021,2829741
AT,Austria,2021,8932664
BE,Belgium,2021,11554767
BG,Bulgaria,2021,6916548
CH,Switzerland,2021,8670300
CY,Cyprus,2021,896007
CZ,Czechia,2021,10701777
DE,Germany (until 1990 former territory of the FRG),2021,83155031
DK,Denmark,2021,5840045
EE,Estonia,2021,1330068
EL,Greece,2021,10678632
ES,Spain,2021,47398695
FI,Finland,2021,5533793
FR,France,2021,67656682
HR,Croatia,2021,4036355
HU,Hungary,2021,9730772
IE,Ireland,2021,5006324
IS,Iceland,2021,368792
IT,Italy,2021,59236213
LI,LI Liechtenstein,2021,39055
LT,Lithuania,2021,2795680
LU,LU Luxembourg,2021,634730
LV,Latvia,2021,1893223
ME,Montenegro,2021,620739
MK,North Macedonia,2021,2068808
MT,MT Malta,2021,516100
NL,Netherlands,2021,17475415
NO,Norway,2021,5391369
PL,Poland,2021,37840001
PT,Portugal,2021,10298252
RO,Romania,2021,19201662
RS,Serbia,2021,6871547
SE,Sweden,2021,10379295
SI,Slovenia,2021,2108977
SK,Slovakia,2021,5459781
TR,Türkiye,2021,83614362
AL,Albania,2020,2845955
AT,Austria,2020,8901064
BE,Belgium,2020,11522440
BG,Bulgaria,2020,6951482
CH,Switzerland,2020,8606033
CY,Cyprus,2020,888005
CZ,Czechia,2020,10693939
DE,Germany (until 1990 former territory of the FRG),2020,83166711
DK,Denmark,2020,5822763
EE,Estonia,2020,1328976
EL,Greece,2020,10718565
ES,Spain,2020,47332614
FI,Finland,2020,5525292
FR,France,2020,67320216
HR,Croatia,2020,4058165
HU,Hungary,2020,9769526
IE,Ireland,2020,4964440
IS,Iceland,2020,364134
IT,Italy,2020,59641488
LI,LI Liechtenstein,2020,38747
LT,Lithuania,2020,2794090
LU,LU Luxembourg,2020,626108
LV,Latvia,2020,1907675
ME,Montenegro,2020,621873
MK,North Macedonia,2020,2076255
MT,MT Malta,2020,514564
NL,Netherlands,2020,17407585
NO,Norway,2020,5367580
PL,Poland,2020,37958138
PT,Portugal,2020,10295909
RO,Romania,2020,19328838
RS,Serbia,2020,6926705
SE,Sweden,2020,10327589
SI,Slovenia,2020,2095861
SK,Slovakia,2020,5457873
TR,Türkiye,2020,83154997
AL,Albania,2019,2862427
AT,Austria,2019,8858775
BE,Belgium,2019,11455519
BG,Bulgaria,2019,7000039
CH,Switzerland,2019,8544527
CY,Cyprus,2019,875899
CZ,Czechia,2019,10649800
DE,Germany (until 1990 former territory of the FRG),2019,83019213
DK,Denmark,2019,5806081
EE,Estonia,2019,1324820
EL,Greece,2019,10724599
ES,Spain,2019,46937060
FI,Finland,2019,5517919
FR,France,2019,67177636
HR,Croatia,2019,4076246
HU,Hungary,2019,9772756
IE,Ireland,2019,4904240
IS,Iceland,2019,356991
IT,Italy,2019,59816673
LI,LI Liechtenstein,2019,38378
LT,Lithuania,2019,2794184
LU,LU Luxembourg,2019,613894
LV,Latvia,2019,1919968
ME,Montenegro,2019,622182
MK,North Macedonia,2019,2077132
MT,MT Malta,2019,493559
NL,Netherlands,2019,17282163
NO,Norway,2019,5328212
PL,Poland,2019,37972812
PT,Portugal,2019,10276617
RO,Romania,2019,19414458
RS,Serbia,2019,6963764
SE,Sweden,2019,10230185
SI,Slovenia,2019,2080908
SK,Slovakia,2019,5450421
TR,Türkiye,2019,82003882
UK,United Kingdom,2019,66647112
AL,Albania,2018,2870324
AT,Austria,2018,8822267
BE,Belgium,2018,11398589
BG,Bulgaria,2018,7050034
CH,Switzerland,2018,8484130
CY,Cyprus,2018,864236
CZ,Czechia,2018,10610055
DE,Germany (until 1990 former territory of the FRG),2018,82792351
DK,Denmark,2018,5781190
EE,Estonia,2018,1319133
EL,Greece,2018,10741165
ES,Spain,2018,46658447
FI,Finland,2018,5513130
FR,France,2018,67026224
HR,Croatia,2018,4105493
HU,Hungary,2018,9778371
IE,Ireland,2018,4830392
IS,Iceland,2018,348450
IT,Italy,2018,60483973
LI,LI Liechtenstein,2018,38114
LT,Lithuania,2018,2808901
LU,LU Luxembourg,2018,602005
LV,Latvia,2018,1934379
ME,Montenegro,2018,622359
MK,North Macedonia,2018,2075301
MT,MT Malta,2018,475701
NL,Netherlands,2018,17181084
NO,Norway,2018,5295619
PL,Poland,2018,37976687
