unit_code,age_code,sex_code,geo_code,flags_code,time_code,values_code,unit,age,sex,geo,flags,time,values
NR,TOTAL,F,AL,,2021,1419759,Number,Total,Females,Albania,,2021,1419759
NR,TOTAL,F,AT,,2021,4535712,Number,Total,Females,Austria,,2021,4535712
NR,TOTAL,F,BE,,2021,5854293,Number,Total,Females,Belgium,,2021,5854293
NR,TOTAL,F,BG,,2021,3566833,Number,Total,Females,Bulgaria,,2021,3566833
NR,TOTAL,F,CH,,2021,4367701,Number,Total,Females,Switzerland,,2021,4367701
NR,TOTAL,F,CY,,2021,458357,Number,Total,Females,Cyprus,,2021,458357
NR,TOTAL,F,CZ,,2021,5426674,Number,Total,Females,Czechia,,2021,5426674
NR,TOTAL,F,DE,,2021,42128512,Number,Total,Females,Germany (until 1990 former territory of the FRG),,2021,42128512
NR,TOTAL,F,DE_TOT,,2021,42128512,Number,Total,Females,Germany including former GDR,,2021,42128512
NR,TOTAL,F,DK,,2021,2935188,Number,Total,Females,Denmark,,2021,2935188
NR,TOTAL,F,EA18,p,2021,173621004,Number,Total,Females,Euro area - 18 countries (2014),p,2021,173621004
NR,TOTAL,F,EA19,p,2021,175103086,Number,Total,Females,Euro area - 19 countries  (2015-2022),p,2021,175103086
NR,TOTAL,F,EE,,2021,699153,Number,Total,Females,Estonia,,2021,699153
NR,TOTAL,F,EFTA,,2021,7239247,Number,Total,Females,European Free Trade Association,,2021,7239247
NR,TOTAL,F,EL,,2021,5482584,Number,Total,Females,Greece,,2021,5482584
NR,TOTAL,F,ES,,2021,24171413,Number,Total,Females,Spain,,2021,24171413
NR,TOTAL,F,EU27_2020,ep,2021,228673217,Number,Total,Females,European Union - 27 countries (from 2020),ep,2021,228673217
NR,TOTAL,F,FI,,2021,2799985,Number,Total,Females,Finland,,2021,2799985
NR,TOTAL,F,FR,p,2021,34939338,Number,Total,Females,France,p,2021,34939338
NR,TOTAL,F,HR,,2021,2071425,Number,Total,Females,Croatia,,2021,2071425
NR,TOTAL,F,HU,,2021,5066978,Number,Total,Females,Hungary,,2021,5066978
NR,TOTAL,F,IE,,2021,2528521,Number,Total,Females,Ireland,,2021,2528521
NR,TOTAL,F,IS,,2021,179749,Number,Total,Females,Iceland,,2021,179749
NR,TOTAL,F,IT,,2021,30369987,Number,Total,Females,Italy,,2021,30369987
NR,TOTAL,F,LI,,2021,19687,Number,Total,Females,Liechtenstein,,2021,19687
NR,TOTAL,F,LT,,2021,1482082,Number,Total,Females,Lithuania,,2021,1482082
NR,TOTAL,F,LU,,2021,315274,Number,Total,Females,Luxembourg,,2021,315274
NR,TOTAL,F,LV,,2021,1017998,Number,Total,Females,Latvia,,2021,1017998
NR,TOTAL,F,ME,,2021,313875,Number,Total,Females,Montenegro,,2021,313875
NR,TOTAL,F,MK,,2021,1033590,Number,Total,Females,North Macedonia,,2021,1033590
NR,TOTAL,F,MT,,2021,249161,Number,Total,Females,Malta,,2021,249161
NR,TOTAL,F,NL,,2021,8788879,Number,Total,Females,Netherlands,,2021,8788879
NR,TOTAL,F,NO,,2021,2672110,Number,Total,Females,Norway,,2021,2672110
NR,TOTAL,F,PL,ep,2021,19532513,Number,Total,Females,Poland,ep,2021,19532513
NR,TOTAL,F,PT,,2021,5439503,Number,Total,Females,Portugal,,2021,5439503
NR,TOTAL,F,RO,,2021,9814072,Number,Total,Females,Romania,,2021,9814072
NR,TOTAL,F,RS,,2021,3525575,Number,Total,Females,Serbia,,2021,3525575
NR,TOTAL,F,SE,,2021,5156448,Number,Total,Females,Sweden,,2021,5156448
NR,TOTAL,F,SI,,2021,1049039,Number,Total,Females,Slovenia,,2021,1049039
NR,TOTAL,F,SK,,2021,2793295,Number,Total,Females,Slovakia,,2021,2793295
